epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17462,0.90694,4.71626,1.01375,0.46738,0.75,0.45133,0.34769,0.83481,3.12186,0.89615,0.09706,6e-05,6e-05
2,2.12358,0.9758,6.20894,1.05696,0.71621,1,0.90923,0.77201,0.69956,3.38108,0.84899,0.09314,0.000139996,0.000139996
3,2.93939,0.78996,2.43456,0.93699,0.85211,1,0.95669,0.78297,0.6319,2.23268,0.83536,0.08922,0.000219976,0.000219976
4,4.04615,0.90468,1.58993,0.94519,0.50487,0.33333,0.41439,0.29885,0.97025,2.56306,0.96308,0.0852999,0.000299927,0.000299927
5,4.95323,0.95538,1.70831,1.00894,0.81844,0.41667,0.44816,0.35331,0.98245,2.39172,0.96948,0.0813798,0.000379835,0.000379835
6,5.96733,0.98209,1.4592,1.02391,0.86126,0.51921,0.70477,0.52452,1.09989,1.95209,1.04517,0.0774597,0.000459688,0.000459688
7,6.9383,0.94274,0.8667,0.9821,0.93479,0.5,0.70681,0.51961,1.09343,2.40848,1.19098,0.0735395,0.000539473,0.000539473
8,8.01855,1.10206,1.36409,1.18383,0.90539,0.58333,0.76381,0.53929,1.12659,2.14664,1.24262,0.0696192,0.000619176,0.000619176
9,9.08175,1.07721,1.19535,1.07846,0.99536,0.83333,0.8509,0.67229,0.98966,1.13063,1.19389,0.0656988,0.000698785,0.000698785
10,9.88141,1.06703,1.14846,1.22415,0.90482,0.91667,0.9769,0.77551,0.85963,0.79128,1.03727,0.0617783,0.000778286,0.000778286
11,10.648,0.92669,0.9851,1.05467,0.79911,1,0.96669,0.74323,0.84715,1.04736,1.01017,0.0578577,0.000857668,0.000857668
12,11.5843,0.8692,0.99783,1.02414,0.99093,1,0.995,0.79461,0.86749,1.06628,1.06154,0.0539369,0.000936916,0.000936916
13,12.416,1.00882,0.76508,1.02694,0.65662,0.91667,0.83949,0.66542,0.87978,2.62667,1.04746,0.050016,0.00101602,0.00101602
14,13.1716,0.79254,0.72868,1.00887,0.47109,0.83333,0.67004,0.51616,0.814,9.74514,0.97176,0.046095,0.00109496,0.00109496
15,13.8757,0.99921,0.95203,1.08588,0.46343,0.33333,0.4309,0.33891,0.91835,2.85806,1.00724,0.0421737,0.00117373,0.00117373
16,14.7263,0.94512,1.28331,1.13264,0.46343,0.33333,0.4309,0.33891,0.91835,2.85806,1.00724,0.0382523,0.00125232,0.00125232
17,15.3764,0.91224,1.2026,1.10926,0.98629,0.83333,0.94586,0.67833,1.04329,0.9689,1.11861,0.0343307,0.00133071,0.00133071
18,16.1803,1.04715,0.91824,1.02713,0.71385,0.66667,0.70037,0.46597,1.15529,1.37339,1.18935,0.0304089,0.00140889,0.00140889
19,16.8583,0.97364,0.99298,0.99206,0.71385,0.66667,0.70037,0.46597,1.15529,1.37339,1.18935,0.0264868,0.00148685,0.00148685
20,17.6814,1.01521,0.94852,1.10824,0.65533,0.66667,0.6705,0.47332,1.22055,1.87003,1.26075,0.0225646,0.00156457,0.00156457
21,18.4085,0.8677,0.72596,0.96821,0.5072,0.58333,0.62947,0.45984,1.3508,10.8513,1.33414,0.018642,0.00164204,0.00164204
22,19.1466,0.92266,0.93605,1.02993,0.5072,0.58333,0.62947,0.45984,1.3508,10.8513,1.33414,0.0147193,0.00171926,0.00171926
23,19.9603,0.94451,0.95182,1.03012,0.25356,0.16667,0.19512,0.12989,1.38242,37.9921,1.54603,0.0107962,0.0017962,0.0017962
24,20.7356,0.93312,0.80213,1.10222,0.25356,0.16667,0.19512,0.12989,1.38242,37.9921,1.54603,0.00687285,0.00187285,0.00187285
25,21.5247,1.10939,0.83954,1.10288,0.00428,0.33333,0.01136,0.00898,1.35479,192.36,1.34966,0.00294921,0.00194921,0.00194921
26,22.1563,0.98167,0.70291,1.05681,0.00428,0.33333,0.01136,0.00898,1.35479,192.36,1.34966,0.00196627,0.00196627,0.00196627
27,22.9968,0.88032,0.64898,1.03787,0.00321,0.5,0.00248,0.00193,1.2706,280.129,1.33823,0.00196353,0.00196353,0.00196353
28,23.8222,1.11076,1.19469,1.33867,0.00321,0.5,0.00248,0.00193,1.2706,280.129,1.33823,0.00196069,0.00196069,0.00196069
