epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9711,0.5877,1.72104,0.88656,1,0.21952,0.36687,0.27798,0.9078,3.52134,1.08277,0.09118,0.00018,0.00018
2,47.1317,0.6506,1.03442,0.92693,1,0.38301,0.56672,0.46831,0.76222,2.85835,0.93994,0.08138,0.00037999,0.00037999
3,64.7917,0.7509,1.00735,1.06087,1,0.73997,0.92135,0.76526,0.67651,1.54527,0.89355,0.0715799,0.000579937,0.000579937
4,80.4361,0.857,0.86465,0.95761,0.94213,0.89214,0.95938,0.79602,0.64436,0.86628,0.95692,0.0617798,0.000779809,0.000779809
5,101.504,0.73727,1.07833,1.07157,0.12528,0.69863,0.16184,0.12964,0.70542,16.4655,0.95571,0.0519796,0.000979574,0.000979574
6,134.144,0.83482,0.89994,0.92568,0.19705,0.71233,0.17599,0.14326,0.71834,5.03238,1.04845,0.0421792,0.0011792,0.0011792
7,164.968,0.81411,1.08434,1.05591,0.18936,0.86301,0.19738,0.1609,0.67692,7.39707,0.9729,0.0323787,0.00137865,0.00137865
8,193.39,0.79379,0.84132,0.99136,0.24516,0.84932,0.27864,0.21087,0.65592,8.29719,0.98494,0.0225779,0.0015779,0.0015779
9,217.999,0.80272,0.98772,1.00197,0.19174,0.83562,0.20479,0.15722,0.6664,9.23748,1.03885,0.0127769,0.00177691,0.00177691
10,232.486,0.86742,0.7805,0.93984,0.61557,0.90411,0.82222,0.63554,0.7206,2.4046,1.03777,0.00297565,0.00197565,0.00197565
11,252.002,0.8287,0.78162,1.01531,0.9674,0.81296,0.87702,0.70387,0.77981,1.20124,1.03009,0.00199458,0.00199458,0.00199458
12,266.482,0.78872,0.80309,0.95367,0.89487,0.81629,0.90887,0.71872,0.74923,0.90233,1.04813,0.00199344,0.00199344,0.00199344
13,278.709,0.79853,0.97817,1.04911,0.78662,0.93151,0.86234,0.66791,0.75022,1.38677,1.04584,0.00199219,0.00199219,0.00199219
14,298.517,0.80993,0.80623,1.02792,0.97767,0.89041,0.95255,0.7818,0.67011,0.90446,0.95029,0.00199084,0.00199084,0.00199084
15,317.384,0.79142,0.68573,0.97117,0.84357,0.88649,0.93559,0.72428,0.72296,1.7426,1.02115,0.00198938,0.00198938,0.00198938
16,346.25,0.77892,0.64428,0.96637,0.75636,0.75342,0.78189,0.6134,0.78472,3.22373,1.1132,0.00198781,0.00198781,0.00198781
17,371.478,0.73387,0.82274,1.06286,0.27829,0.52055,0.21431,0.1722,1.02841,7.96387,1.35812,0.00198614,0.00198614,0.00198614
18,395.908,0.65852,0.59895,0.96996,0.08157,0.80822,0.09117,0.07121,0.64865,15.4982,1.04854,0.00198435,0.00198435,0.00198435
19,416.57,0.71081,0.66959,0.97734,0.09147,0.91781,0.12522,0.08869,0.7166,13.9016,1.07831,0.00198246,0.00198246,0.00198246
20,432.299,0.83861,0.76314,1.0442,0.08043,0.84932,0.07913,0.06107,0.78378,13.5137,1.18099,0.00198047,0.00198047,0.00198047
21,448.482,0.74292,0.66894,0.97437,0.06101,0.75342,0.06275,0.04654,0.9025,14.9417,1.29702,0.00197837,0.00197837,0.00197837
22,467.387,0.71551,0.64552,0.95517,0.10516,0.80822,0.10656,0.08383,0.69828,9.98609,1.15685,0.00197616,0.00197616,0.00197616
23,482.846,0.71102,0.70179,1.00168,0.20239,0.91781,0.2153,0.15803,0.65013,5.03005,1.01843,0.00197384,0.00197384,0.00197384
24,501.712,0.72389,0.68849,0.98019,0.26945,0.87671,0.31436,0.23612,0.67673,4.51138,1.00476,0.00197142,0.00197142,0.00197142
25,518.357,0.73961,0.67846,1.05731,0.46993,0.94521,0.55434,0.43831,0.60609,4.17049,0.94064,0.0019689,0.0019689,0.0019689
26,530.662,0.66184,0.58946,0.92749,0.72958,0.96093,0.84454,0.698,0.56181,1.62619,0.90177,0.00196627,0.00196627,0.00196627
27,541.219,0.62452,0.56433,0.88228,0.85576,0.9863,0.92781,0.79929,0.548,1.16287,0.8982,0.00196353,0.00196353,0.00196353
28,552.906,0.60499,0.60385,0.93703,0.99261,0.9726,0.98881,0.86939,0.54992,0.77655,0.89,0.00196069,0.00196069,0.00196069
29,562.004,0.6302,0.54914,0.93389,0.98056,0.9863,0.98946,0.87098,0.53857,0.81951,0.89583,0.00195775,0.00195775,0.00195775
30,571.858,0.57353,0.48328,0.92086,0.98457,0.9863,0.99366,0.87899,0.53704,0.57249,0.90487,0.0019547,0.0019547,0.0019547
31,588.181,0.58081,0.51839,0.90891,0.98332,0.9863,0.9946,0.87403,0.55333,0.52645,0.9151,0.00195155,0.00195155,0.00195155
32,597.824,0.64079,0.57367,0.94655,1,0.98288,0.99473,0.87931,0.55273,0.49827,0.90923,0.00194829,0.00194829,0.00194829
33,610.093,0.66086,0.52038,0.92924,0.99533,1,0.995,0.89126,0.53008,0.50056,0.88373,0.00194493,0.00194493,0.00194493
34,629.246,0.59553,0.54253,0.94334,1,0.9949,0.995,0.88686,0.50454,0.42194,0.87119,0.00194147,0.00194147,0.00194147
35,638.334,0.63984,0.57785,0.93257,1,0.99874,0.995,0.87443,0.5544,0.45196,0.89432,0.00193791,0.00193791,0.00193791
36,648.036,0.67418,0.63876,0.99089,0.95922,0.9666,0.98731,0.85,0.57723,0.58037,0.90065,0.00193424,0.00193424,0.00193424
37,658.905,0.66879,0.58392,0.9879,0.84691,0.9863,0.87093,0.76515,0.54848,0.85427,0.88703,0.00193048,0.00193048,0.00193048
38,675.068,0.67183,0.58102,0.94791,0.8499,0.94521,0.88089,0.76975,0.56877,0.68362,0.89825,0.00192661,0.00192661,0.00192661
39,691.709,0.66095,0.53314,0.96845,0.89828,0.96782,0.94597,0.83251,0.5234,0.70493,0.87696,0.00192264,0.00192264,0.00192264
40,699.755,0.57224,0.50134,0.91259,0.93439,0.97547,0.97807,0.85957,0.49776,0.73607,0.86778,0.00191858,0.00191858,0.00191858
41,707.887,0.61343,0.49203,0.90878,0.94202,0.9589,0.97797,0.84936,0.51936,0.76569,0.87781,0.00191441,0.00191441,0.00191441
42,716.3,0.65838,0.51117,0.92812,0.88809,0.97838,0.96054,0.83376,0.52966,1.02278,0.88364,0.00191014,0.00191014,0.00191014
43,725.93,0.58242,0.48362,0.9129,0.904,1,0.96158,0.8387,0.54005,0.91411,0.88577,0.00190578,0.00190578,0.00190578
44,735.811,0.69505,0.55851,0.97478,0.87547,1,0.92744,0.80895,0.52732,0.83096,0.87867,0.00190132,0.00190132,0.00190132
45,744.931,0.66628,0.53951,0.98699,0.86874,0.99733,0.89942,0.77779,0.51932,0.7527,0.8754,0.00189675,0.00189675,0.00189675
46,755.328,0.61156,0.49578,0.97932,0.9761,0.9726,0.98898,0.85323,0.54184,0.48574,0.88485,0.0018921,0.0018921,0.0018921
47,764.586,0.63959,0.48871,0.92778,1,0.94195,0.99172,0.87956,0.51636,0.44657,0.8763,0.00188734,0.00188734,0.00188734
48,774.108,0.60898,0.47883,0.91364,0.95935,0.96994,0.98721,0.87847,0.5082,0.45737,0.87468,0.00188249,0.00188249,0.00188249
49,782.056,0.56986,0.44658,0.90659,0.94103,0.9726,0.98613,0.87383,0.50259,0.4756,0.87405,0.00187754,0.00187754,0.00187754
50,793.156,0.56509,0.50121,0.93225,0.82709,0.94521,0.87428,0.77057,0.48319,0.7724,0.87558,0.0018725,0.0018725,0.0018725
51,802.911,0.58307,0.46473,0.934,0.94476,0.9726,0.99004,0.86082,0.51301,0.60623,0.87683,0.00186737,0.00186737,0.00186737
52,811.744,0.5618,0.44863,0.90415,0.98454,0.9863,0.99388,0.86153,0.51321,0.50695,0.87029,0.00186213,0.00186213,0.00186213
53,821.609,0.55837,0.48625,0.93936,0.99755,0.9863,0.99448,0.89356,0.46298,0.45888,0.84899,0.00185681,0.00185681,0.00185681
