epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5462,0.84055,2.84681,0.93597,0.00093,0.18841,0.00068,0.00027,1.03943,4.34688,1.19039,0.09208,8e-05,8e-05
2,41.147,0.76257,1.56087,0.974,0.00139,0.21739,0.02928,0.02683,0.85422,4.50332,1.00171,0.08317,0.00017,0.00017
3,61.7339,0.81246,1.06367,0.91219,0.00226,0.2029,0.16599,0.1273,0.74699,4.49303,0.91292,0.07426,0.000259997,0.000259997
4,81.9713,0.8532,1.03386,0.92676,0.28,0.2029,0.26004,0.18773,0.72714,4.45246,0.8584,0.06535,0.000349992,0.000349992
5,102.271,0.68777,0.93414,0.91821,0.17143,0.17391,0.13547,0.08565,0.67848,4.40996,0.84446,0.05644,0.000439983,0.000439983
6,123.1,0.65045,0.76553,0.89449,0.07879,0.18841,0.0795,0.05084,0.65359,4.38448,0.85433,0.04753,0.000529968,0.000529968
7,143.333,0.65738,0.77727,0.9063,0.06997,0.34783,0.16614,0.12142,0.61329,4.23835,0.84196,0.0386199,0.000619945,0.000619945
8,163.662,0.6067,0.73319,0.91621,0.04693,0.37681,0.19831,0.1454,0.61054,3.99555,0.83508,0.0297099,0.000709915,0.000709915
9,184.105,0.62955,0.6857,0.92399,0.30346,0.04348,0.2348,0.1888,0.60995,3.71125,0.83773,0.0207999,0.000799875,0.000799875
10,205.135,0.57993,0.63737,0.89281,0.05725,0.89855,0.30625,0.25939,0.58516,3.33081,0.8337,0.0118898,0.000889824,0.000889824
11,225.494,0.56729,0.66154,0.90521,0.69765,0.13396,0.50331,0.43352,0.56781,2.72345,0.83584,0.00297976,0.000979761,0.000979761
12,246.167,0.61237,0.60886,0.84009,0.84638,0.33333,0.51954,0.44081,0.59116,2.53505,0.85137,0.000999704,0.000999704,0.000999704
13,266.827,0.68542,0.71259,0.89764,0.89372,0.36569,0.71146,0.62032,0.56144,2.2697,0.83038,0.000999648,0.000999648,0.000999648
14,287.212,0.61189,0.64194,0.90424,0.92735,0.55503,0.92843,0.81942,0.54183,1.90257,0.81857,0.000999587,0.000999587,0.000999587
15,307.76,0.62442,0.64738,0.9431,0.91562,0.94357,0.91509,0.81228,0.52865,1.38985,0.81797,0.000999521,0.000999521,0.000999521
16,328.242,0.60159,0.6204,0.8931,0.98637,0.97101,0.99457,0.882,0.53109,1.04632,0.82367,0.00099945,0.00099945,0.00099945
17,348.46,0.64801,0.65618,0.8878,1,0.99709,0.995,0.89191,0.52448,0.99079,0.83276,0.000999375,0.000999375,0.000999375
18,368.751,0.61283,0.58087,0.85513,0.98563,0.99416,0.99471,0.87601,0.52283,0.97704,0.84287,0.000999294,0.000999294,0.000999294
19,389.815,0.55238,0.61053,0.86739,0.99652,1,0.995,0.85934,0.59535,0.70869,0.85789,0.000999209,0.000999209,0.000999209
20,410.608,0.58848,0.57019,0.89127,0.99897,1,0.995,0.8697,0.55553,0.64742,0.84503,0.000999118,0.000999118,0.000999118
21,431.063,0.66916,0.68667,0.96094,0.98571,0.99961,0.993,0.87232,0.52484,0.66663,0.84186,0.000999023,0.000999023,0.000999023
22,451.633,0.59604,0.61149,0.90297,0.97034,1,0.99208,0.86922,0.54906,0.62555,0.85016,0.000998923,0.000998923,0.000998923
23,471.999,0.5937,0.61999,0.91284,0.99531,1,0.995,0.87169,0.53732,0.57296,0.84838,0.000998818,0.000998818,0.000998818
24,492.261,0.53604,0.53362,0.86038,0.98169,1,0.99214,0.87835,0.49861,0.57415,0.84347,0.000998708,0.000998708,0.000998708
25,512.89,0.54085,0.55646,0.90863,0.95771,0.98474,0.979,0.87296,0.48505,0.65314,0.83811,0.000998594,0.000998594,0.000998594
26,533.23,0.55966,0.56614,0.85991,0.95634,0.98551,0.97561,0.87164,0.47805,0.7161,0.83889,0.000998474,0.000998474,0.000998474
27,553.814,0.54253,0.51956,0.85438,0.98271,1,0.99471,0.89732,0.47217,0.58552,0.83555,0.00099835,0.00099835,0.00099835
28,574.382,0.5718,0.5632,0.9016,0.99083,1,0.995,0.89493,0.48419,0.5526,0.83988,0.00099822,0.00099822,0.00099822
29,594.802,0.55701,0.58587,0.81677,0.99645,1,0.995,0.89963,0.49093,0.52879,0.83347,0.000998086,0.000998086,0.000998086
30,615.407,0.51511,0.51947,0.85451,0.9982,1,0.995,0.9097,0.47571,0.51226,0.82832,0.000997947,0.000997947,0.000997947
31,635.97,0.54066,0.52772,0.8911,1,0.99968,0.995,0.90873,0.46172,0.47598,0.83025,0.000997803,0.000997803,0.000997803
32,656.572,0.55011,0.51624,0.87058,0.99296,1,0.995,0.91051,0.47259,0.48791,0.8365,0.000997654,0.000997654,0.000997654
